1|O2|202109|600|6|600|True
2|A1|202109|800|4|800|True
3|A2|201209|600|2|600|True1|A1|500|20|25|0.8|True|4
4|A1|201207|78|32|True
5|A1|56|2345|4|586.25|245|True
6|A1|201201|3049|6|508.1666666666667|659|True
7|A2|2021-12|400|5|80.0|70|True
8|A1|2012-12|3424|232|14.758620689655173|23|True
9|A1|2021-09|345|3|115.0|20|True
10|A1|2021|234|2|117.0|12|True
11|A1|2014|244|2|122.0|12|True
12|A2|2021-02|21|12|1.75|12|True
13|A4|202105|500|24|21|500|True
14|A4|202109|600|24|25|600|True
15|A1|202109|1000.0|25|40|1000.0|True
16|O1|202105|500.0|24|21|500.0|True
17|A1|202109|500.0|12|42|500.0|True
18|O1|202106|780.0|24|32|780.0|True
19|A1|200509|800.0|12|67|800.0|True
