202109|2021-09-09|1680.0|349.6|1330.4202109|2021-09-11|1680.0|349.6|1330.4
201604|2021-09-18|1680.0|149.6|1530.4
201604|2021-09-18|1680.0|149.6|1530.4
201507|2021-09-19|1680.0|149.6|1530.4
2021|2021-09-19|1680.0|266.6|1413.4
2021|2021-09-19|1680.0|266.6|1413.4
202109|2021-09-19|14283.15|1496.8799999999999|12786.27
202109|2021-09-19|14283.15|1338.55|12944.6
202106|2021-09-19|15438.68|1374.7799999999997|14063.9
202109|2021-09-19|17013.68|1581.6999999999998|15431.98
202109|2021-09-19|18273.68|1693.8999999999999|16579.78
